L,H,E,nu,F,u_max,sigma_vm_max
1.887052500829832891e+00,1.733874635926147545e-01,7.517590180816439819e+10,2.872702341306734297e-01,7.191431254123307326e+02,4.108786897257160132e-05,2.797866552694137208e+05
6.639234366718369529e-01,1.512958443001226339e-01,1.698561474836377563e+11,3.273720682751626310e-01,4.394554466250483529e+03,7.845219969963041509e-06,9.756998939610086381e+05
1.609147202714764857e+00,1.701307388159948308e-01,7.685491937525909424e+10,2.734535150441298468e-01,3.298539980188606023e+03,1.245909449694627307e-04,1.146025985237670131e+06
1.787187956937234645e+00,5.067501874094887393e-02,1.420481078962889709e+11,3.177287399364396858e-01,6.332328010787593939e+02,3.840332498818574891e-04,1.869898061926733702e+06
1.102033336330081825e+00,1.843452322075545546e-01,1.640257932398202209e+11,2.737658363360597202e-01,4.337515083343607330e+03,2.039772658644308553e-05,9.472236818823466310e+05
1.022047135114271477e+00,1.780017006716089201e-01,1.118521111566467743e+11,3.090320250883148989e-01,2.286230304865253402e+03,1.367355284549708953e-05,5.228065060366089456e+05
9.122375761326004806e-01,1.829836343257804088e-01,9.626311547152877808e+10,2.584811591235763317e-01,2.038671223455471591e+03,9.753913891996883665e-06,3.800475195723939105e+05
1.576458721462351331e+00,1.711147408964422967e-01,2.098240718093470764e+11,2.796362057011164692e-01,2.335738780090769978e+03,2.985165093522388054e-05,7.946600294757703086e+05
7.052319170444394381e-01,1.362307894434550692e-01,2.096612052168084106e+11,3.200881010120658621e-01,3.178457781860172872e+03,7.446593605170035491e-06,8.867742500930016395e+05
1.088553639382690896e+00,1.872948140428332686e-01,1.395683234582489014e+11,2.634366913313061498e-01,2.144203084396100621e+03,1.099375971741704935e-05,4.456065463781203725e+05
6.007500032716504013e-01,8.029685565331723396e-02,7.247362933998770142e+10,2.953279916500163305e-01,3.355431192283087057e+03,6.739056836847129620e-05,2.082624421942747198e+06
1.014938693568361749e+00,1.130572657257915836e-01,2.042892981982406311e+11,3.251963121574915627e-01,2.933854866252280317e+03,3.456547379093232120e-05,1.582197602539807325e+06
9.268113126677378633e-01,1.845495198159493033e-01,1.029135963632923279e+11,2.825342730516676726e-01,4.590791664903268611e+03,2.065978701202407253e-05,8.749559226745587075e+05
1.294313082927608605e+00,1.613476924126965306e-01,1.527042711829272461e+11,3.153439209009494815e-01,1.847224811816715146e+03,2.121434025917258036e-05,6.235891449210194405e+05
